	restaurantName	address	city	postalCode	country	region	priceRange	cuisineType	facilitiesServices	creditCards	phoneNumber	website	latitude	logitude	description_filtered
11	La Buca	corso Garibaldi 45	Cesenatico	47042	ITA	Emilia-Romagna	€€€	Seafood, Contemporary	Air conditioning, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0547 675649	https://www.labucaristorante.com/	44.200314	12.396823	choos one tabl outdoor summer terrac right water restaur order best appreci locat overlook picturesqu canal port period hous indoor dine room also attract open-view kitchen modern eleg feel menu focus almost exclus fish sourc local fishermen enjoy wide select raw antipasti start simpl prepar other elabor choos array beauti present modern dish perhap accompani one mani champagn includ wine list
12	La Trattoria Enrico Bartolini	Località Badiola	Castiglione della Pescaia	58043	ITA	Tuscany	€€€€	Mediterranean Cuisine, Grills	Air conditioning, Car park, Garden or park, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0564 944322	https://www.enricobartolini.net/ristorante-la-trattoria-castiglione	42.78823	10.97122	majest picture-postcard approach via long avenu line cypress tree maritim pine pass vineyard maremma cattl along way final arriv restaur serv trattoria-styl cuisin full intens familiar reassur flavour decor eleg occasion rustic touch servic highest level yet pleasantli friendli inform welcom bartolini ’ maremma restaur resid chef bruno de moura cossio offer choic dish one common denomin name charcoal grill dish serv grill way distinct barbecu flavour howev although chef ’ brazilian origin obviou mani differ way ingredi resolut local even restaur ’ farm friendli servic make guest feel complet home excel wine select ad attract – produc estat highli recommend
13	LoRo	via Bruse 2	Trescore Balneario	24069	ITA	Lombardy	€€€	Creative	Air conditioning, Car park	Amex, Mastercard, Visa	+39 347 761 4728	http://www.loroandco.com	45.6938611	9.8324198	cuisin serv loro imagin present ingredi combin light origin healthi best sens word dish focu fish seafood especi antipasti primi cours dish list imagin name menu chef pierantonio rocchetti reinterpret classic italian favourit flair imagin serv gener portion skimp flavour take guest delici culinari journey culmin excel dessert restaur ’ “ sala lab ” home larg designer-styl tabl transform accommod differ number guest allow chef prepar dish directli tabl ambienc friendli convivi still maintain eleg feel
14	Ménage	Via Euplio Reina 13	Catania	95121	ITA	Sicily	€€	Sicilian, Contemporary	Air conditioning, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 095 0927 2933	https://www.menagelounge.it/	37.5040814	15.088074	situat heart citi near teatro bellini piazza università restaur occupi art nouveau-styl build trio experienc young chef catania brought new life old “ da turi finocchiaro ” restaur alway popular citi ’ high societi offer small outdoor space near entranc quiet intim dine room ground floor provid backdrop reinterpret contemporari sicilian cuisin exclus focu meat especi barbecu dish restaur ’ trademark first floor home cocktail bar run passion one partner two fresco paint giusepp baron 1930 add appeal
15	O Me O Il Mare	Via Roma 45/47	Gragnano	80054	ITA	Campania	€€€€	Italian Contemporary, Modern Cuisine	Air conditioning, Interesting wine list, Wheelchair access	Amex, Mastercard, Visa	+39 081 620 0550	http://omeoilmare.com	40.6916293	14.5157334	mani year ’ experi michelin-star restaur luigi tramontano wife nicoletta open first restaur chef ’ nativ gargnano previous pasta factori build convert eleg contemporary-styl restaur nonetheless retain charm high ceil cuisin inspir region tradit reinterpret creat gourmet dish prepar respect ingredi use strong focu local produc
16	Palazzo Utini	via Antonio Gramsci 6	Noceto	43015	ITA	Emilia-Romagna	€€€€	Creative, Contemporary	Air conditioning, Interesting wine list, Wheelchair access	Amex, Mastercard, Visa	+39 0521 152 1001	https://palazzoutini.com	44.8087145	10.1788721	histor build town centr brought back life famili local entrepreneur bought year ago given restaur name exclus food venu stone ’ throw capit “ food valley ” region palazzo utini home bar bistro ground floor first floor occupi gourmet restaur overseen chef enrico bartolini run resid chef roberto monopoli plenti culinari experi behind guest choos individu dish tast menu à la cart style plu ’ extens wine list particularli enjoy exquisit turbot saltimbocca onion black cherri lambrusco dessert upper floor eleg intim guestroom decor reassur style rest build
17	Procaccini	Via Giulio Cesare Procaccini 33	Milan	20154	ITA	Lombardy	€€€€	Modern Cuisine, Contemporary	Air conditioning, Restaurant offering vegetarian menus	Amex, Mastercard, Visa	+39 02 7709 1277	http://procaccini.com	45.4837396	9.1708465	origin kosovo talent chef emin haziri grew itali plenti profession culinari experi behind creat contemporari cuisin person flavour raw seafood dish oyster caviar sicilian prawn scampi avail alongsid imagin option eleg stylish dine room harmoni colour scheme fine furnish open-view kitchen marbl chef ’ tabl velvet-cov stool realli catch eye restaur also boast cocktail bar guest enjoy drink appetis small tapa menu design share
18	Sa Domu Sarda	via Sassari 51	Cagliari	9124	ITA	Sardinia	€€	Sardinian	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 070 653400	https://www.osteriasadomusarda.it/	39.2169379	9.1106285	despit island sardinia ’ tradit cuisin tend focu meat dish ’ find best-known special serv restaur simpl dine room typic local décor enjoy evoc name dish “ sitzigorru cun bagna ” snail tomato sauc bue rosso “ bomba ” meat ball delici sardinian pasta “ malloreddu ” “ culurgion ” “ fregula ” stew casserol meat fillet well famou “ sebada ” “ su pappai biancu ” type blancmang dessert
19	Soul & Fish	via Marina Grande	Sorrento	80067	ITA	Campania	€€€	Seafood	Terrace	Amex, Mastercard, Visa	+39 081 878 2170	https://www.soulandfish.com/	40.6278681	14.3644213	centr sorrento follow success road downhil marina grand town ’ old picturesqu fish villag well worth visit face water ’ find soul fish seemingli tradit seasid restaur actual serv superb fish seafood menu combin tradit dish creativ option
20	Bàcaro Il Gusto	via Provinciale Nord 30	Fossò	30030	ITA	Veneto	€€	Venetian	Air conditioning, Wheelchair access	Amex, Mastercard, Visa	+39 041 517 0035	https://www.ristorantebacaroilgusto.it	45.386677	12.0493508	simpl modern restaur attent focus extraordinari skill chef name nod typic venetian bar known asbacari keep restaur serv rang snack tradit creativ style allow chef demonstr culinari skill full classic imagin dish also featur menu alongsid choic excel dessert
21	Casa Rispoli	piazza san Francesco 7	Cava de' Tirreni	84013	ITA	Campania	€€	Modern Cuisine	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 089 995 1261	http://www.casarispoli.it	40.6963696	14.7099255	overlook piazza surround picturesqu arcad histor centr walk around district highli recommend restaur run rispoli famili continu uphold fine-din tradit although meat dish featur menu fish option mainli tradit tuna mussel escabeche-styl aubergin occasion imagin dessert cheesecak toffe raspberri main attract
22	Castello di Fighine	borgo di Fighine	San Casciano dei Bagni	53040	ITA	Tuscany	€€€	Contemporary	Air conditioning, Car park, Garden or park, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0578 56158	https://www.fighine.it/it/ristorante.html	42.88651	11.915653	dirt track lead magic set – 11c castl perch among tuscan hill privat own restor renov past 15 year situat hamlet surround castl restaur boast beauti terrac shade wisteria meal serv fine weather kitchen success partnership new resid chef francesco nunziata three-star michelin chef heinz beck immedi obviou two apart avail casa parretti anyon wish prolong stay
23	Dolada	via Dolada 21, località Plois alt. 870	Pieve d'Alpago	32010	ITA	Veneto	€€€	Country cooking, Modern Cuisine	Car park, Garden or park, Great view, Interesting wine list	Amex, Mastercard, Visa	+39 0437 479141	https://www.dolada.it/	46.1736379	12.3601001	idyl picture-postcard set panoram locat overlook santa croce lake surround villag mountain peak match eleg interior mix antiqu modern furnish success stylish small dine room loung includ open fireplac mani ingredi cook centuri restaur told stori de pra famili love mountain clearli evid cuisin serv chef riccardo strengthen connect intensifi search local ingredi game mushroom freshwat fish etc cultiv kitchen garden vineyard fragrant ingredi prepar simpli yet technic expertis flavour alway primari focu – infal recip resound success
24	Eea	via Umberto I	Ponza	4027	ITA	Lazio	€€€	Seafood, Mediterranean Cuisine	Air conditioning, Great view, Terrace	Amex, Mastercard, Visa	+39 338 445 6849	https://www.mondoeea.it	40.893543	12.964747	name ancient greek name ponza restaur situat port boast fine view island ’ picturesqu hous rug coastlin terrac almost exclus focu fish seafood menu featur balanc creativ tradit dish
25	Gasthofstube Stafler	Campo di Trens	Mules	39040	ITA	Trentino-South Tyrol	€€	Regional Cuisine, Traditional Cuisine	Car park, Garden or park, Terrace	Mastercard, Visa	+39 0472 771136	https://www.stafler.com/it/hotel-gourmet-alto-adige/gasthofstube/filosofia-gasthofstube.html	46.8511257	11.5204347	restaur situat splendid stafler hotel road austria perfect romant dinner comfort stube-styl dine room intern garden fine weather friendli welcom staff tradit tyrolean cuisin focu ingredi isarco valley plu interest person twist ad chef
26	Il Luogo Aimo e Nadia	via Montecuccoli 6	Milan	20147	ITA	Lombardy	€€€€	Italian Contemporary, Modern Cuisine	Air conditioning, Counter dining, Interesting wine list, Wheelchair access	Amex, Mastercard, Visa	+39 02 416886	https://www.aimoenadia.com/il-luogo-aimo-e-nadia	45.458435	9.130776	long-establish restaur part milanes culinari scene 60 year continu attract food-lov search top-qual cuisin today serv gener tast menu showcas italian cuisin modern dish inspir origin two dynam chef alessandro negrini fabio pisani former lombardi latter puglia ’ also menu dedic season season veget enhanc differ dish “ omaggio milano ” tribut milan – tortelli pasta stuf fassona beef ossobuco marrow sardinian saffron parmesan reduct alway popular make sure allow plenti time perus extens wine select display tablet includ hard-to-find label servic courteou attent throughout
27	Il Ristorante - Niko Romito	via di Ripetta 73	Rome	186	ITA	Lazio	€€€€	Italian Contemporary	Air conditioning, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 06 3608 0410	https://www.bulgarihotels.com/it_IT/rome/dining/il-ristorante-niko-romito	41.9067852	12.4758727	situat fifth floor hotel bulgari view mausoleum augustu il ristorant niko romito boast spaciou terrac eleg welcom dine room mahogani wall adorn work art menu featur tradit italian cuisin reinterpret light imagin touch demonstr memor dish chef ’ take classic spaghetti tomato sauc
28	L'Arcangelo	via Giuseppe Gioacchino Belli 59	Rome	193	ITA	Lazio	€€	Roman, Farm to table	Air conditioning	Amex, Mastercard, Visa	+39 06 321 0992	https://www.larcangelo.com	41.9065413	12.4687174	simpl auster right earn fame restaur due search best region product real passion owner like archangel guid paradis palat gastronom nich
29	La Brughiera	via XXIV Maggio 23	Senago	20030	ITA	Lombardy	€€	Lombardian, Traditional Cuisine	Air conditioning, Car park, Garden or park, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 02 998 2113	https://www.labrughiera.it	45.5757798	9.1140087	old farmhous groan region park never lost warm famili atmospher interior spaciou attract menu base tradit nation special
30	La Tavola	via Fortino 40	Laveno	21014	ITA	Lombardy	€€€€	Creative	Car park, Great view, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0332 667257	https://ilporticciolo.com/	45.9065255	8.6104635	situat il porticciolo hotel restaur appeal anyon enjoy lakesid set leav car car park take lift dine room window overlook water view opposit shore lake maggior lake also take pride place creativ elabor personalis dish two tast menu creat riccardo bassetti mani featur freshwat fish
31	Locanda delle Tre Chiavi	via Vannetti 8	Isera	38060	ITA	Trentino-South Tyrol	€	Regional Cuisine, Seasonal Cuisine	Car park, Terrace	Amex, Mastercard, Visa	+39 348 402 0857	http://www.locandadelletrechiavi.it	45.88918	11.01126	restaur hous 18c build run talent enthusiast owner sergio front hous annarita kitchen utmost provid guest best season region ingredi prepar classic dish full flavour wine list focus good-qual label region
32	Luminist Cafè Bistrot	via Toledo 177	Naples	80134	ITA	Campania	€€	Classic Cuisine	Air conditioning, Wheelchair access	Amex, Mastercard, Visa	+39 081 1975 8023	http://www.giuseppeiannotti.it/Luminist	40.8406951	14.24874	situat ground floor splendid banco di napoli build also home galleri d'italia museum restaur also includ bar pasticceria vari restaur menu featur intern dish quicker meal fish base around recip around world alongsid creativ dish region special campania latter aubergin parmigiana candel pasta serv neapolitan ragu popular babà truli delici showcas colour flavour neapolitan cuisin
33	Musciora	via Mazzini 59	Alghero	7041	ITA	Sardinia	€€€	Sardinian, Modern Cuisine	Air conditioning, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 079 973 7519	https://musciora.it/	40.5586717	8.317813	locat far town centr restaur offer friendli profession servic three tast menu includ particularli appeal 8-cours “ la vera esperienza musciora ” dish pay tribut sardinia ’ culinari tradit ingredi sourc region wine highlight includ cuttlefish potato pea su filindeu pasta serv seafood broth
34	Osteria Le Panzanelle	località Lucarelli 29	Lucarelli	53017	ITA	Tuscany	€€	Tuscan	Terrace	Amex, Mastercard, Visa	+39 0577 733511	https://www.lepanzanelle.it/	43.518906	11.311626	pleasant rural trattoria simpl inform ambienc serv gener portion delici region cuisin includ homemad pasta excel meat
35	Osteria Mercato	piazza Capucci 9	Stresa	28838	ITA	Piedmont	€€	Italian Contemporary, Contemporary	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 0323 346245	https://osteriamercatostresa.com/	45.8822178	8.5397648	anonym locat restaur car park stone ’ throw histor centr compens live welcom atmospher attract outdoor area plu italian cuisin reinterpret creativ twist
36	Quintogusto	piazza Sandro Pertini 54 r	Savona	17100	ITA	Liguria	€€	Contemporary, Mediterranean Cuisine	Air conditioning, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 019 770 2870	https://ristorantequintogusto.com/	44.3054183	8.4814112	recent open renov section corso italia central savona quintogusto small contemporari minimalist-styl restaur occupi one side former hospit owner-chef sous-chef excel michelin-star il vescovado noli cement reput ligurian-influenc cuisin add modern imagin touch
37	Raieü	via Milite Ignoto 23	Cavi di Lavagna	16033	ITA	Liguria	€€	Seafood, Ligurian	Air conditioning, Terrace	Mastercard, Visa	+39 0185 390145		44.2900882	9.380131	60 year busi trattoria hous old warehous store fish net still solid choic qualiti price alik situat centr cavi di lavagna restaur simpl old-fashion feel outdoor space overlook one small villag ’ narrow alleyway restaur continu specialis typic ligurian fish seafood simpli prepar copiou full flavour soup one hous special pesto excel mani unusu dish featur local season ingredi lavagna ’ broccoli cabbag stuf fish
38	Torre del Saracino	via Torretta 9	Vico Equense	80069	ITA	Campania	€€€€	Creative	Air conditioning, Car park, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 081 802 8555	https://www.torredelsaracino.it/	40.6606947	14.419559	coast road take seri hairpin bend marina di equa beach vico see old fortifi tower stand metr sea tower music play background guest savour aperitif accompani extraordinari select imagin antipasti offer introduct excel cuisin await move one two dine eleg dine room decor vintag 1970 style look vesuviu bay napl – set meal linger long memori gennaro esposito one best chef campania creat beauti present dish meat fish often dish delici also full colour vital region
39	Verbano	via Ugo Ara 2, Isola dei Pescatori	Stresa	28838	ITA	Piedmont	€€€	Italian, Mediterranean Cuisine	Air conditioning, Great view, Restaurant offering vegetarian menus, Terrace	Amex, Mastercard, Visa	+39 0323 31226	https://ilverbano.com/	45.9000678	8.5217885	within confin small charm verbano hotel beauti island pescatori chef marco sacco serv top-qual cuisin describ stun set contemporary-styl dine room boast panoram window outdoor terrac view palazzo borromeo isola bella perfect set dinner fine weather
40	AceroRosso	Via Rovignan 1	Vodo di Cadore	32040	ITA	Veneto	€€€	Regional Cuisine	Car park, Terrace, Wheelchair access	Mastercard, Visa	+39 0435 489653	https://www.acerorossodolomiti.it	46.4108978	12.2787883	seclud mountain chalet immers verdant woodland boast welcom dine room decidedli alpin feel thank profus wood warm open fire cuisin also region style featur local recip ingredi albeit contemporari touch popular dish includ rack lamb cook low temperatur serv cream sweetcorn leek fondant ju
41	Café Les Paillotes	piazza Le Laudi 2	Pescara	65129	ITA	Abruzzo	€€€	Modern Cuisine, Seafood	Air conditioning, Interesting wine list, Restaurant offering vegetarian menus, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 085 61809	https://www.lespaillotes.it/	42.4548186	14.2397968	old acquaint michelin guid new chef helm although decor furnish remain slightli old-fashion feel cuisin modern yet unnecessari frill fresh gener flavour highlight menu includ new raw fish option entir tast menu well-stock wine cellar home around 500 label offer good valu money
42	Ristorante de LEN	Via Cesare Battisti 66	Cortina d'Ampezzo	32043	ITA	Veneto	€€	Regional Cuisine	Wheelchair access	Amex, Mastercard, Visa	+39 0436 4246	https://hoteldelen.it	46.53884	12.13403	stone ’ throw central busi corso italia restaur eleg alpin feel subtl light soft background music larch wood clad wall creat ambienc attract blend modern tradit cuisin take inspir local region special interpret contemporari twist includ focu vegetable- cheese-bas dish excel “ fonduta di saporito d'alpeggio ” fondu
43	4 Ciance	via Dronero 8/c	Cuneo	12100	ITA	Piedmont	€€	Piedmontese, Modern Cuisine	Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0171 489027	https://www.4cianceristorante.it/	44.393135	7.549021	restaur cuneo ’ histor centr boast two bright dine room well friendli profession femal staff dish prepar two chef feast eye palat cuisin root tradit prepar skill enthusiasm occasion contemporari touch two tast menu individu dish chosen plu daili special vari accord market avail announc tabl meat take pride place typic piedmont although fish seafood option also featur
44	Ai Mercanti	corte Coppo, sestiere San Marco 4346/a	Venice	30124	ITA	Veneto	€€	Modern Cuisine	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 041 523 8269	https://www.aimercanti.it/	45.4351522	12.3351495	family-run “ gastrosteria ” hidden small venetian courtyard modern eleg decor domin beig black tone full excit imagin flavour modern meat fish dish prepar promis young chef nadia locatello make chang typic special region
45	Andreina	via Buffolareccia 14	Loreto	60025	ITA	Marche	€€€	Modern Cuisine, Meats and Grills	Air conditioning, Car park, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 071 970124	https://www.ristoranteandreina.it/	43.4404449	13.6208829	sixti year restaur open grandmoth andreina errico recanati continu add distinct mark famili busi follow complet renov farmhous interior dine room even eleg welcom excel staff offer attent discreet servic cuisin root local tradit focus especi game grill dish featur surviv dine room grill fireplac recanati ’ distinct style make full use fire charcoal ember afore-ment grill spit real expert latter enabl delight grill flavour aroma make way dish often personalis ad fruit veget garden contribut chef describ “ neo-rur ” style cuisin beauti illumin new lamp arrang tabl precis stage set
46	Antica Osteria La Rampina	"via Emilia fraz. Rampina 3
ang. via Rocca Brivio"	San Giuliano Milanese	20098	ITA	Lombardy	€€€	Lombardian, Contemporary	Air conditioning, Car park, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 02 983 3273	https://rampina.it/	45.36847	9.31612	said gener radetzki flee citi five day milan rebellion camp troop right front la rampina ’ courtyard surround natur full fascin histori restaur make ideal spot enjoy variou culinari option serv lino young son luca offer care balanc local tradit flavour skil innov
47	Antica Osteria Magenes	via Cavour 7	Barate	20083	ITA	Lombardy	€€€	Italian, Modern Cuisine	Air conditioning, Garden or park, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 02 908 5125	https://osteriamagenes.com/	45.3846895	9.0396282	fascin restaur occupi old hous renov modern style come surpris given locat small villag deep countrysid enjoy tradit cuisin reinterpret play origin way well-tend garden six exclus tabl provid perfect set intim romant alfresco dinner
48	Buca di Sant'Antonio	via della Cervia 3	Lucca	55100	ITA	Tuscany	€€	Tuscan, Classic Cuisine	Air conditioning, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0583 55881	https://www.bucadisantantonio.com/	43.8427305	10.5017857	stone ’ throw piazza san michel heart beauti histor centr lucca buca di sant'antonio one citi ’ oldest restaur specialis tradit tuscan cuisin main cours focu almost entir meat dish old copper pot pan hang ceil add home atmospher
49	Buriani dal 1967	via Matteotti 66	Pieve di Cento	40066	ITA	Emilia-Romagna	€€	Italian, Modern Cuisine	Air conditioning, Wheelchair access	Amex, Mastercard, Visa	+39 051 975177	https://www.ristoranteburiani.com/	44.7112661	11.3059943	family-run restaur provinc bologna excel reput good food whether choos one fish-bas recip meat dish ’ enjoy cuisin balanc classic flavour modern influenc includ region special
50	Cavour	via Cavour 40	Dossobuono	37062	ITA	Veneto	€€	Venetian, Classic Cuisine	Air conditioning, Car park, Terrace	Amex, Mastercard, Visa	+39 045 513038	https://www.ristorantecavourverona.it/	45.3966994	10.9144069	cavour serv top-qual cuisin root region tradit make type restaur everyon would like local daili special season focu ultra-fresh puntarel chicori salad anchovi parmesan chees also avail
51	Da Gerry	via Chiesa 6	Monfumo	31010	ITA	Veneto	€€	Classic Cuisine	Air conditioning, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0423 945750	https://www.ristorantedagerry.com/	45.8304724	11.9209252	central locat contemporari style trattoria sampl local dish much besid also offer excel accommod da gerri ’ bedroom comfort spaciou
52	Da Nonna Sceppa	via Laura 45	Paestum	84047	ITA	Campania	€€	Campanian, Traditional Cuisine	Air conditioning, Car park, Terrace	Amex, Mastercard, Visa	+39 0828 851064	https://www.nonnasceppa.com	40.44638	14.978889	found 1960 grandma giuseppa inn today becom restaur manag stay within hand famili nephew great nephew spread dine room kitchen local recip menu chang daili
53	Achilli al Parlamento	via dei Prefetti 15	Rome	186	ITA	Lazio	€€€	Creative, Contemporary	Air conditioning, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 06 687 3446	https://achilli.restaurant	41.9024619	12.4769426	situat stone ’ throw parliament build eleg restaur ’ origin wine bar visibl mani wine bottl line wall dine room variou tast menu featur creativ dish occasion influenc campania top-qual cuisin root tradit flavour ’ huge choic wine glass bottl chosen directli wine boutiqu room nearest entranc ’ find bistro serv simpler fare also open lunchtim
54	Vesta Mare	viale Roma 41	Marina di Pietrasanta	55045	ITA	Tuscany	€€€	Seafood, Classic Cuisine	Air conditioning, Car park, Interesting wine list, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0584 20187	https://vestafiorichiari.com/mare/	43.933229	10.1930984	typic eleg versilian beach club open-plan feel extend car park beach serv top-qual cuisin guest facil includ entranc loung stylish dine room full charact swim pool second loung space menu simpler lunchtim except low season request gourmet menu normal serv even book fish seafood take pride place menu classic dish reinterpret modern twist chef take particular care present
55	l' Ciocio - Osteria di Suvereto	piazza dei Giudici 1	Suvereto	57028	ITA	Tuscany	€€	Modern Cuisine, Tuscan	Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0565 829947	https://www.osteriadisuvereto.it/	43.07921	10.67901	although restaur histor centr suvereto welcom ambienc tradit trattoria cuisin creativ elabor style still offer tuscan classic one hous favourit “ real familiar ” delici cut beef serv caper anchovi
56	L'Osteria H20	via Pergola 10	Moniga del Garda	25080	ITA	Lombardy	€€€	Creative	Air conditioning, Car park, Great view, Terrace	Amex, Mastercard, Visa	+39 0365 503225	https://www.losteriah2o.it	45.52083	10.52629	bright minimalist style restaur situat road dine room face lake serv imagin personalis cuisin fish meat dish menu
